product_category;valid_from;valid_to;hermes_product_category;cleaning_cost;returned_item_cleaning_share;average_cleaning_cost_per_returned_item
TAILORING;1-1-1900;31-12-2017;Blazer;5,61;0,0143;0,08
TOPS BLAZER;1-1-1900;31-12-2017;Blazer;5,61;0,0143;0,08
DRESSES;1-1-1900;31-12-2017;Dress;6,97;0,0301;0,21
SKIRTDRESS;1-1-1900;31-12-2017;Dress;6,97;0,0301;0,21
CASUAL DRESSES;1-1-1900;31-12-2017;Dress;6,97;0,0301;0,21
PARTY DRESSES;1-1-1900;31-12-2017;Dress;6,97;0,0301;0,21
JACKETS & COATS;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
OUTERWEAR;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
OTW JACKET;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
OTW COAT;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
OTW WAISTCOAT;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
JACKETS;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
COATS;1-1-1900;31-12-2017;Jacket;3,89;0,0077;0,03
JEANS;1-1-1900;31-12-2017;Jeans;3,17;0,0126;0,04
SHORTS;1-1-1900;31-12-2017;Jeans;3,17;0,0126;0,04
BOTTOMS;1-1-1900;31-12-2017;Jeans;3,17;0,0126;0,04
DENIM;1-1-1900;31-12-2017;Jeans;3,17;0,0126;0,04
BTMS JEANS;1-1-1900;31-12-2017;Jeans;3,17;0,0126;0,04
BAGS & PURSES;1-1-1900;31-12-2017;Not Cleaned;0;0;0
HOSIERY & LEGGINGS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
ACCESSORIES;1-1-1900;31-12-2017;Not Cleaned;0;0;0
SHOES;1-1-1900;31-12-2017;Not Cleaned;0;0;0
UNDERWEAR;1-1-1900;31-12-2017;Not Cleaned;0;0;0
BELTS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
JEWELLERY & SUNGLASES;1-1-1900;31-12-2017;Not Cleaned;0;0;0
WINTER ACCESSORIES;1-1-1900;31-12-2017;Not Cleaned;0;0;0
SWIMWEAR;1-1-1900;31-12-2017;Not Cleaned;0;0;0
BAGS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
LEGGINGS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
SCARVES;1-1-1900;31-12-2017;Not Cleaned;0;0;0
JEWELLERY;1-1-1900;31-12-2017;Not Cleaned;0;0;0
COSMETICS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
ACCESS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
BODYACC;1-1-1900;31-12-2017;Not Cleaned;0;0;0
LEATHER;1-1-1900;31-12-2017;Not Cleaned;0;0;0
ACCESSORIES - APPAREL;1-1-1900;31-12-2017;Not Cleaned;0;0;0
Shoes;1-1-1900;31-12-2017;Not Cleaned;0;0;0
ACCESSORIES - NON APPAREL;1-1-1900;31-12-2017;Not Cleaned;0;0;0
NIGHTSUITS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
MARKETING;1-1-1900;31-12-2017;Not Cleaned;0;0;0
RESELLABLE MARKETING;1-1-1900;31-12-2017;Not Cleaned;0;0;0
GIFT CARDS;1-1-1900;31-12-2017;Not Cleaned;0;0;0
SHIRTS;1-1-1900;31-12-2017;Shirts;2,88;0,0972;0,28
SKIRTS;1-1-1900;31-12-2017;Skirts;4,38;0,0068;0,03
SKRITS;1-1-1900;31-12-2017;Skirts;4,38;0,0068;0,03
JERSEY BASICS;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
KNITWEAR;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
KNIT;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
JERSEYSWEA;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
TOPS SWEATER;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
TOPS SWEATER - KNIT;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
T-SHIRTS & TOPS;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
TOPS;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
LIGHT TOPS;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
HEAVY TOPS;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
SHIRTTOP;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
JERSEYTOPT;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
TOPS TEE;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
TOPS SHIRT;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
T-SHIRT & TOPS;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
TEES & TOPS;1-1-1900;31-12-2017;T-Shirt+Top;2,71;0,0111;0,03
PANTS;1-1-1900;31-12-2017;Trousers;3,68;0,0136;0,05
TROUSERS & SHORTS;1-1-1900;31-12-2017;Trousers;3,68;0,0136;0,05
SWEAT;1-1-1900;31-12-2017;Trousers;3,68;0,0136;0,05
BTMS PANTS;1-1-1900;31-12-2017;Trousers;3,68;0,0136;0,05
BTMS SHORTS;1-1-1900;31-12-2017;Trousers;3,68;0,0136;0,05
KNIT TOPS;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
KNITTOPS;1-1-1900;31-12-2017;Sweater;2,78;0,0108;0,03
