1;13;1;4;5,05;4,85
2;13;5;4;5,25;6,64
3;13;5;5;19,67;6,64
4;13;18;4;5,17;5,17
5;21;4;4;5,61;5,91
6;21;5;4;4,02;4,02
7;21;5;5;17,40;4,25
8;21;8;4;3,56;3,44
9;21;25;4;4,2;4,94
10;43;2;4;6,65;6,18
11;56;1;4;2,63;2,84
12;56;1;5;4,98;2,84
13;56;3;4;0;0
14;56;4;4;2,48;2,64
15;56;5;4;2,49;2,49
16;56;17;4;2,75;2,68
17;56;17;5;5,29;2,68
18;58;5;5;14,38;3,27
19;58;6;4;3,72;3,39
20;58;10;4;4,47;3,62
21;58;11;4;5,88;5,8
22;58;12;4;7,38;3,27
23;67;4;4;12,86;12,65
24;67;5;4;8,95;8,95
25;67;5;5;19,67;5,5
26;67;8;4;7,3;7,18
27;67;16;4;5;5
28;69;5;5;17,4;6,21
29;69;11;4;6,33;6,23
30;74;4;4;8,35;8,95
31;74;5;4;6,28;6,28
32;74;5;5;17,4;6,28
33;74;8;4;5,61;5,49
34;76;4;4;7,88;5,29
35;76;5;4;10;10
36;76;5;5;17,4;10
37;76;17;4;5,36;5,29
38;76;9;4;5,29;5,29
39;101;4;4;10,6;8,65
40;101;5;4;7,52;7,52
41;101;5;5;19,67;7,98
42;109;4;4;7,95;8,95
43;109;5;4;6,6;8,1
44;109;5;5;19,67;8,1
45;165;4;4;5,35;6,05
46;165;5;4;3,38;3,38
47;165;5;5;16,65;3,5
48;165;8;4;2,89;2,72
49;165;26;4;3,98;3,86
50;166;7;4;7,87;7,8
51;166;11;4;8,04;8,04
52;196;4;4;5,59;8,06
53;196;5;5;16,65;4,51
54;196;11;4;4,61;4,51
55;196;12;4;5,39;4,73
